
===== 2026-04-06T15:01:05-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775502067.213240728] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775502067.376978337] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0.
[INFO] [1775502070.880991595] [scene_from_vision_node]: Published obj_3 (new) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502071.878381753] [scene_from_vision_node]: Published obj_4 (new) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502073.379227115] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502073.879044943] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502075.382414144] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502076.379688296] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502076.882208413] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.648, y=-0.156, z=0.117
[INFO] [1775502077.878740533] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502078.880347730] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502079.884694573] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.538, y=-0.089, z=0.099
[INFO] [1775502081.379447428] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502082.379327273] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502083.380642655] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502084.385148604] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502084.882266724] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.648, y=-0.156, z=0.117
[INFO] [1775502086.877991890] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502087.379440266] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.648, y=-0.156, z=0.117
[INFO] [1775502088.380201621] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502089.383361710] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502090.380523246] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502091.877953043] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502092.381767496] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502093.881481465] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502094.878920788] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502095.887840521] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502096.379973746] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.157, z=0.117
[INFO] [1775502096.887306221] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502098.380805230] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502098.881094680] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.648, y=-0.156, z=0.117
[INFO] [1775502100.381213240] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502101.380193447] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502102.878354692] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502103.380691464] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.157, z=0.117
[INFO] [1775502104.381215539] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502104.879804773] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502105.382226860] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502106.380355105] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502107.383203652] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502108.878088515] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502109.880012049] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
