
===== 2026-04-07T19:10:42-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 -p scene_calibration_x_offset_m:=0.0 -p scene_calibration_y_offset_m:=0.06 -p cube_world_x_offset_m:=0.0 -p cube_world_y_offset_m:=0.0 -p cube_yaw_offset_deg:=0.0 

[INFO] [1775603443.920667881] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775603444.020974635] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775603444.022940404] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(0.000, 0.060), z_offset=0.000, yaw_deg=0.00, xy_scale=1.0000, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775603444.024931604] [scene_from_vision_node]: SceneFromVision object offsets: remote_axis=y, remote_tag_to_center_sign=1.0, remote_tag_from_end_m=0.020, cube_tag_to_center=(0.000, 0.000), cube_world_offset=(0.000, 0.000), cube_yaw_offset_deg=0.0, medication_face_to_center_m=0.030, cup_face_to_center_m=0.037.
[INFO] [1775603462.618266599] [scene_from_vision_node]: Scene scan started for 10.0s. Visible detections will be sampled, filtered, and committed at scan end.
[WARN] [1775603472.693010285] [scene_from_vision_node]: Scene scan collected no pose samples. Check that vision_apriltag is running, /detected_tag_ids is changing, and the selected detector backend is stable.
[INFO] [1775603472.695299142] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: []
[INFO] [1775603484.024499763] [scene_from_vision_node]: Latched first detection for tag ID 4 into scene memory.
[INFO] [1775603484.523594885] [scene_from_vision_node]: Published obj_4 (new) at x=0.673, y=0.078, z=0.117
[INFO] [1775603486.523160737] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603489.021706215] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603491.024130521] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603493.522257479] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603496.023525979] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603498.022095533] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603500.522574451] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603503.022609123] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603505.021639400] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603507.021574196] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603509.021835838] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603511.024173062] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603513.522817213] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603516.021296904] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603518.033218255] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603520.525027057] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603523.022981431] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603525.529272028] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603528.024267585] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603530.025689104] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603532.024357275] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603534.025125950] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603536.523993556] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603538.525524571] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603541.021752332] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603543.023355020] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603545.524235080] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603548.030045909] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603550.522327248] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603552.527691778] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603555.024006098] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603557.525229248] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603560.202940821] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603562.522361984] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603565.022341694] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603567.022553420] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603569.024841851] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603571.522015266] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603573.521728126] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603575.521654168] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603577.522197355] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603580.022071578] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603582.023561216] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603584.521728374] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603586.522981538] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603589.024345310] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603591.521228148] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603593.521618375] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603595.522402357] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603598.023120521] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603600.522142118] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603602.521440207] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603605.022513070] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603607.022310865] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603609.022474879] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603611.031365464] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603613.521749291] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603616.021536368] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603618.031308220] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603620.522048384] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603623.022209121] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603625.022170878] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603627.521692297] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603630.026106956] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603632.521781253] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603634.521792445] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603637.022472990] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603639.521711901] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603641.521788792] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603643.523841578] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603646.022103193] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603648.522861863] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603649.773167642] [scene_from_vision_node]: Scene scan started for 10.0s. Visible detections will be sampled, filtered, and committed at scan end.
[INFO] [1775603650.581439881] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603652.595617309] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603654.611423429] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603656.627672759] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[INFO] [1775603658.641126905] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.673, y=0.078, z=0.117
[WARN] [1775603659.857158058] [scene_from_vision_node]: Scene scan collected no pose samples. Check that vision_apriltag is running, /detected_tag_ids is changing, and the selected detector backend is stable.
[INFO] [1775603659.857747154] [scene_from_vision_node]: Scene scan kept remembered IDs not reacquired in this scan: [4]. This is expected for ADL memory mode; use scan_prune_unseen_objects:=true for calibration runs after manually moving objects.
[INFO] [1775603659.859149958] [scene_from_vision_node]: Scene scan pruned remembered IDs not reacquired in this scan: [4].
[INFO] [1775603659.860216125] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: []
