
===== 2026-04-07T19:58:42-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 -p scene_calibration_x_offset_m:=0.0 -p scene_calibration_y_offset_m:=0.06 -p cube_world_x_offset_m:=0.0 -p cube_world_y_offset_m:=0.0 -p cube_yaw_offset_deg:=0.0 -p apply_planning_scene_service_updates:=true -p publish_monitored_planning_scene_updates:=true 

[INFO] [1775606323.978016970] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775606324.121758095] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, apply_planning_scene_service_updates=True, publish_monitored_planning_scene_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775606324.125761525] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(0.000, 0.060), z_offset=0.000, yaw_deg=0.00, xy_scale=1.0000, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775606324.128419689] [scene_from_vision_node]: SceneFromVision object offsets: remote_axis=y, remote_tag_to_center_sign=1.0, remote_tag_from_end_m=0.020, cube_tag_to_center=(0.000, 0.000), cube_world_offset=(0.000, 0.000), cube_yaw_offset_deg=0.0, medication_face_to_center_m=0.030, cup_face_to_center_m=0.037.
[INFO] [1775606326.924567278] [scene_from_vision_node]: Latched first detection for tag ID 4 into scene memory.
[INFO] [1775606327.126302466] [scene_from_vision_node]: Published obj_4 (new) at x=0.699, y=0.072, z=0.117
[INFO] [1775606327.133450674] [scene_from_vision_node]: /apply_planning_scene accepted dynamic scene updates; MoveIt should mirror these objects to RViz.
[INFO] [1775606329.629942113] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
[INFO] [1775606332.122491870] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
[INFO] [1775606334.056249367] [scene_from_vision_node]: Scene scan started for 10.0s. Visible detections will be sampled, filtered, and committed at scan end.
[INFO] [1775606334.126892614] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
[INFO] [1775606336.186432742] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
[INFO] [1775606338.211372940] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
[INFO] [1775606340.236608064] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
[INFO] [1775606342.262552451] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
[INFO] [1775606344.607096426] [scene_from_vision_node]: Scan committed tag 4: raw=10, accepted=10, rejected=0, median tag pose x=0.698, y=0.072, z=0.145. object center x=0.698, y=0.072, z=0.117. table_delta x=+0.017, y=+0.072.
[INFO] [1775606344.612516561] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.698, y=0.072, z=0.117
[INFO] [1775606344.616577147] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: [4]
[INFO] [1775606346.622463071] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606349.129987522] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606351.628145109] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606354.123704901] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606356.125772137] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606358.622718457] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606361.123730139] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606363.123167513] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606365.125148423] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606367.623647311] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606370.122885325] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606372.123297833] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606374.622964726] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606377.124021988] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606379.622673130] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606382.122045748] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606384.123374595] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606386.123917190] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606388.622500543] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606390.630057712] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606393.122084063] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606395.125283442] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606397.630150017] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606400.124038095] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606402.624504430] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606405.122495601] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606407.128008510] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606409.622411202] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606411.626205895] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606411.677300035] [scene_from_vision_node]: Scene scan started for 10.0s. Visible detections will be sampled, filtered, and committed at scan end.
[INFO] [1775606413.719897266] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606415.747528016] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606417.770944993] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606419.798819259] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606422.129015812] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.698, y=0.072, z=0.117
[INFO] [1775606422.242217863] [scene_from_vision_node]: Scan committed tag 4: raw=14, accepted=14, rejected=0, median tag pose x=0.699, y=0.072, z=0.145. object center x=0.699, y=0.072, z=0.117. table_delta x=+0.017, y=+0.072.
[INFO] [1775606422.245563499] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.699, y=0.072, z=0.117
[INFO] [1775606422.249389140] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: [4]
[INFO] [1775606424.625125714] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
[INFO] [1775606427.126624637] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.699, y=0.072, z=0.117
