
===== 2026-04-08T19:17:28-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 

[INFO] [1775690250.474974035] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775690250.594588301] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, log_object_pose_debug=False, apply_planning_scene_service_updates=True, publish_monitored_planning_scene_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775690250.596800293] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(-0.228, 0.004), z_offset=0.000, yaw_deg=4.00, xy_scale=1.3370, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775690250.599348696] [scene_from_vision_node]: SceneFromVision object offsets: remote_axis=y, remote_tag_to_center_sign=-1.0, remote_tag_from_end_m=0.020, cube_tag_to_center=(0.000, 0.000), cube_world_offset=(0.000, -0.022), cube_yaw_offset_deg=0.0, medication_face_to_center_m=0.030, cup_face_to_center_m=0.037.
[INFO] [1775690252.494513902] [scene_from_vision_node]: Latched first detection for tag ID 3 into scene memory.
[INFO] [1775690252.598290689] [scene_from_vision_node]: Published obj_3 (new) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690252.610737023] [scene_from_vision_node]: /apply_planning_scene accepted dynamic scene updates; MoveIt should mirror these objects to RViz.
[INFO] [1775690255.096037057] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690257.096647401] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690259.596047321] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690262.095908979] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690264.095166874] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690266.096073113] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690268.596813808] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690270.597480475] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690272.597619924] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690275.095719662] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
